ROI
Plot id;Application date;Payment date;expiry_date;Right type;term_of_right;Payment amount;Payment status;Roi certificate;Service need;Roi holder 1;Contact number;Contact address;Postal address;Email;Roi holder 2';Contact number 2;Contact address 2;Postal address 2;Email 2;Roi holder 3';Contact number 3;Contact address 3;Postal address 3;Email 3;Plot status;astana_tegal_gundul_place_of_birth;astana_tegal_gundul_place_of_death;Place of Birth;Place of Death
A D 1;;;;;;;Unpaid;;;;;;;;;;;;;;;;;;Occupied;;
A D 2;22/08/2023;;22/08/2073;Burial;50;;Unpaid;;;John Doe;;;;;;;;;;;;;;;Occupied;;
A D 5;;;05/03/2030;;0;;Unpaid;;;;;;;;;;;;;;;;;;Reserved;;
A D 6;14/03/2022;31/03/2022;01/02/2030;Burial;0;1500;Paid;1235468;Pre-need;Donnie Jack;;;;;Gogon Jack;;;;;;;;;;Occupied;;
A D 7;;;;;1;;Unpaid;;;Kerang Djangoo;;;;;;;;;;;;;;;Occupied;;
A D 13;;;;;;;Unpaid;;;;;;;;;;;;;;;;;;Occupied;;
B A 1;;;;;;;Unpaid;;;;;;;;;;;;;;;;;;Occupied;;
B A 2;;;;Burial;0;;Unpaid;;At-need;test chronicle;;;;;;;;;;;;;;;Occupied;;
B A 3;12/04/2022;10/04/2022;;;0;200;Unpaid;72727272772;Pre-need;;;;;;;;;;;;;;;;Occupied;;
B A 4;;;;;;;Unpaid;;;;;;;;;;;;;;;;;;Unavailable;;
B A 5;;;;;;;Unpaid;;;;;;;;;;;;;;;;;;For Sale;;
B A 6;;;;;;;Unpaid;;;;;;;;;;;;;;;;;;Unavailable;;
B A 7;;;;;;;Unpaid;;;;;;;;;;;;;;;;;;Occupied;;
B A 8;;;;;;;Unpaid;;;;;;;;;;;;;;;;;;Occupied;;
B A 9;;;;;;;Unpaid;;;;;;;;;;;;;;;;;;Occupied;;
B A 10;;;;;;;Unpaid;;;;;;;;;;;;;;;;;;Occupied;;
B A 11;;;;;;;Unpaid;;;;;;;;;;;;;;;;;;Occupied;;
B A 12;;;;;0;;Unpaid;;;;;;;;;;;;;;;;;;Occupied;;
B A 13;;;;Burial;0;;Unpaid;;;;;;;;;;;;;;;;;;Reserved;;
B B 2;16/01/2008;13/01/2008;;Burial;0;1000;Paid;;;;;;;;;;;;;;;;;;Occupied;;
B B 3;;;;;;;Unpaid;;;;;;;;;;;;;;;;;;For Sale;;
B B 4;;;;;;;Unpaid;;;;;;;;;;;;;;;;;;For Sale;;
B B 5;;;;;;;Unpaid;;;;;;;;;;;;;;;;;;For Sale;;
B B 6;;;;;;;Unpaid;;;;;;;;;;;;;;;;;;Occupied;;
B B 8;;;;;;;Unpaid;;;;;;;;;;;;;;;;;;Occupied;;
B B 9;;;;Burial;;;Unpaid;;;;;;;;;;;;;;;;;;Occupied;;
B B 10;;;;;;;Unpaid;;;;;;;;;;;;;;;;;;Occupied;;
B B 11;;;;;;;Unpaid;;;;;;;;;;;;;;;;;;Occupied;;
B B 12;;;;Both;;;Unpaid;;;;;;;;;;;;;;;;;;Reserved;;
B B 13;;;;Both;;;Unpaid;;;;;;;;;;;;;;;;;;Reserved;;
